id,sentence,script_type,char_pinyin_pairs,english_translation,sentence_hsk_level
27490,她在玻璃杯裡裝滿了酒。,traditional,她:ta1|在:zai4|玻:bo1|璃:li2|杯:bei1|裡:li3|裝:zhuang1|滿:man3|了:le|酒:jiu3|。:,She filled the glass with wine.,5
27491,麥克搭公車去學校。,traditional,麥:mai4|克:ke4|搭:da1|公:gong1|車:che1|去:qu4|學:xue2|校:xiao4|。:,Mike takes the bus to school.,6
27492,我從倫敦訂購了一些書。,traditional,我:wo3|從:cong2|倫:lun2|敦:dun1|訂:ding4|購:gou4|了:le|一:yi1|些:xie1|書:shu1|。:,I ordered some books from London.,7-9
27493,請給我點東西吃。,traditional,請:qing3|給:gei3|我:wo3|點:dian3|東:dong1|西:xi1|吃:chi1|。:,Please give me something to eat.,1
27494,我希望我賺更多的錢。,traditional,我:wo3|希:xi1|望:wang4|我:wo3|賺:zhuan4|更:geng4|多:duo1|的:de|錢:qian2|。:,I hope I earn more money.,6
27495,請告訴我你的想法。,traditional,請:qing3|告:gao4|訴:su4|我:wo3|你:ni3|的:de|想:xiang3|法:fa3|。:,Please tell me your thoughts.,2
27496,她跟你一樣高。,traditional,她:ta1|跟:gen1|你:ni3|一:yi1|樣:yang4|高:gao1|。:,She is as tall as you.,1
27497,我們的媽媽買了一隻小狗給我們。,traditional,我:wo3|們:men|的:de|媽:ma1|媽:ma1|買:mai3|了:le|一:yi1|隻:zhi1|小:xiao3|狗:gou3|給:gei3|我:wo3|們:men|。:,Our mom bought us a puppy.,2
27498,我的妹妹有時為我們做晚餐。,traditional,我:wo3|的:de|妹:mei4|妹:mei4|有:you3|時:shi2|為:wei4|我:wo3|們:men|做:zuo4|晚:wan3|餐:can1|。:,My sister sometimes makes dinner for us.,2
27499,我要一夸脫的牛奶。,traditional,我:wo3|要:yao4|一:yi1|夸:kua1|脫:tuo1|的:de|牛:niu2|奶:nai3|。:,I want a quart of milk.,7-9
27500,我的觀點和你的類似。,traditional,我:wo3|的:de|觀:guan1|點:dian3|和:he2|你:ni3|的:de|類:lei4|似:shi4|。:,My viewpoint is similar to yours.,3
27501,我想看看你的母親。,traditional,我:wo3|想:xiang3|看:kan4|看:kan4|你:ni3|的:de|母:mu3|親:qin1|。:,I want to see your mother.,3
27502,她已經離開了辦公室。,traditional,她:ta1|已:yi3|經:jing1|離:li2|開:kai1|了:le|辦:ban4|公:gong1|室:shi4|。:,She has already left the office.,2
27503,肯明年將滿十五歲。,traditional,肯:ken3|明:ming2|年:nian2|將:jiang1|滿:man3|十:shi2|五:wu3|歲:sui4|。:,Ken will turn fifteen next year.,5
27504,这是你哪里拿的？,neutral,这:zhe4|是:shi4|你:ni3|哪:na3|里:li3|拿:na2|的:de|？:,Where did you get this?,1
27505,她不再住在那裡了。,neutral,她:ta1|不:bu4|再:zai4|住:zhu4|在:zai4|那:na4|裡:li3|了:le|。:,She no longer lives there.,1
27506,她已經工作了一整天。,traditional,她:ta1|已:yi3|經:jing1|工:gong1|作:zuo4|了:le|一:yi1|整:zheng3|天:tian1|。:,She has been working all day.,3
27507,我還沒收到他的信。,traditional,我:wo3|還:hai2|沒:mei2|收:shou1|到:dao4|他:ta1|的:de|信:xin4|。:,I haven't received his letter yet.,2
27508,我哥哥是個大學生。,traditional,我:wo3|哥:ge1|哥:ge1|是:shi4|個:ge4|大:da4|學:xue2|生:sheng1|。:,My brother is a college student.,1
27509,麥克去年夏天去了京都。,traditional,麥:mai4|克:ke4|去:qu4|年:nian2|夏:xia4|天:tian1|去:qu4|了:le|京:jing1|都:du1|。:,Mike went to Kyoto last summer.,6
27510,她寫了一本關於鳥類的書。,traditional,她:ta1|寫:xie3|了:le|一:yi1|本:ben3|關:guan1|於:yu2|鳥:niao3|類:lei4|的:de|書:shu1|。:,She wrote a book about birds.,3
27511,史蒂夫正在上公車。,traditional,史:shi3|蒂:di4|夫:fu1|正:zheng4|在:zai4|上:shang4|公:gong1|車:che1|。:,Steve is taking the bus.,7-9
27512,威廉王子是英国王位第二顺位继承人,simplified,威:wei1|廉:lian2|王:wang2|子:zi3|是:shi4|英:ying1|国:guo2|王:wang2|位:wei4|第:di4|二:er4|顺:shun4|位:wei4|继:ji4|承:cheng2|人:ren2,Prince William is the second in line to the British throne.,7-9
27513,我的嗜好是做模型飛機。,traditional,我:wo3|的:de|嗜:shi4|好:hao4|是:shi4|做:zuo4|模:mo2|型:xing2|飛:fei1|機:ji1|。:,My hobby is building model airplanes.,7-9
27514,她在花園裡摘花。,traditional,她:ta1|在:zai4|花:hua1|園:yuan2|裡:li3|摘:zhai1|花:hua1|。:,She is picking flowers in the garden.,5
27515,請等到我回來。,traditional,請:qing3|等:deng3|到:dao4|我:wo3|回:hui2|來:lai2|。:,Please wait until I come back.,1
27516,我父母給我寄了一張明信片。,traditional,我:wo3|父:fu4|母:mu3|給:gei3|我:wo3|寄:ji4|了:le|一:yi1|張:zhang1|明:ming2|信:xin4|片:pian4|。:,My parents sent me a postcard.,4
27517,她強迫他做這個工作。,traditional,她:ta1|強:qiang2|迫:po4|他:ta1|做:zuo4|這:zhe4|個:ge4|工:gong1|作:zuo4|。:,She forced him to do this job.,4
27518,我從德國訂購了那些書。,traditional,我:wo3|從:cong2|德:de2|國:guo2|訂:ding4|購:gou4|了:le|那:na4|些:xie1|書:shu1|。:,I ordered those books from Germany.,5
27519,超過二十個男孩去了那裡。,traditional,超:chao1|過:guo4|二:er4|十:shi2|個:ge4|男:nan2|孩:hai2|去:qu4|了:le|那:na4|裡:li3|。:,More than twenty boys went there.,2
27520,真理子擅長說英語。,traditional,真:zhen1|理:li3|子:zi|擅:shan4|長:chang2|說:shuo1|英:ying1|語:yu3|。:,Mariko is good at speaking English.,7-9
27521,她照顧孩子。,traditional,她:ta1|照:zhao4|顧:gu4|孩:hai2|子:zi|。:,She takes care of the children.,2
27522,請盡情地跳舞。,traditional,請:qing3|盡:jin3|情:qing2|地:de|跳:tiao4|舞:wu3|。:,Please dance to your heart's content.,3
27523,我立刻認出了你的聲音。,traditional,我:wo3|立:li4|刻:ke4|認:ren4|出:chu1|了:le|你:ni3|的:de|聲:sheng1|音:yin1|。:,I recognized your voice immediately.,3
27524,她被警方逮捕了。,neutral,她:ta1|被:bei4|警:jing3|方:fang1|逮:dai4|捕:bu3|了:le|。:,She was arrested by the police.,7-9
27525,她在家不說日語。,traditional,她:ta1|在:zai4|家:jia1|不:bu4|說:shuo1|日:ri4|語:yu3|。:,She doesn't speak Japanese at home.,1
27526,我父親是個電子工程師。,traditional,我:wo3|父:fu4|親:qin1|是:shi4|個:ge4|電:dian4|子:zi|工:gong1|程:cheng2|師:shi1|。:,My father is an electronic engineer.,3
27527,我最有趣的朋友是Jessie。,neutral,我:wo3|最:zui4|有:you3|趣:qu4|的:de|朋:peng2|友:you3|是:shi4|Jessie:|。:,My most interesting friend is Jessie.,4
27528,努力學習，這樣你就不會失敗。,traditional,努:nu3|力:li4|學:xue2|習:xi2|，:|這:zhe4|樣:yang4|你:ni3|就:jiu4|不:bu4|會:hui4|失:shi1|敗:bai4|。:,"Study hard, and you won't fail.",4
27529,我希望你去那裡。,neutral,我:wo3|希:xi1|望:wang4|你:ni3|去:qu4|那:na4|裡:li3|。:,I hope you go there.,3
27530,我們到的時候正在下雨。,traditional,我:wo3|們:men|到:dao4|的:de|時:shi2|候:hou4|正:zheng4|在:zai4|下:xia4|雨:yu3|。:,It was raining when we arrived.,1
27531,請讓別人去做。,traditional,請:qing3|讓:rang4|別:bie2|人:ren2|去:qu4|做:zuo4|。:,Please let others do it.,2
27532,莎莉在車站遇見了哈利。,traditional,莎:sha1|莉:li4|在:zai4|車:che1|站:zhan4|遇:yu4|見:jian4|了:le|哈:ha1|利:li4|。:,Sally met Harry at the station.,beyond-hsk
27533,瑪麗正坐在辦公桌旁。,traditional,瑪:ma3|麗:li4|正:zheng4|坐:zuo4|在:zai4|辦:ban4|公:gong1|桌:zhuo1|旁:pang2|。:,Mary is sitting next to the desk.,beyond-hsk
27534,現在很多人開車去旅行。,traditional,現:xian4|在:zai4|很:hen3|多:duo1|人:ren2|開:kai1|車:che1|去:qu4|旅:lv3|行:xing2|。:,Many people are driving to travel now.,2
27535,請隨意吃水果。,traditional,請:qing3|隨:sui2|意:yi4|吃:chi1|水:shui3|果:guo3|。:,Please feel free to eat the fruit.,2
27536,瑪麗下樓到廚房。,traditional,瑪:ma3|麗:li4|下:xia4|樓:lou2|到:dao4|廚:chu2|房:fang2|。:,Mary went downstairs to the kitchen.,beyond-hsk
27537,她把這個工作派給他做。,traditional,她:ta1|把:ba3|這:zhe4|個:ge4|工:gong1|作:zuo4|派:pai4|給:gei3|他:ta1|做:zuo4|。:,She assigned this job to him.,3
27538,我比你小三歲。,traditional,我:wo3|比:bi3|你:ni3|小:xiao3|三:san1|歲:sui4|。:,I am three years younger than you.,1
27539,讓我們留給他作決定。,traditional,讓:rang4|我:wo3|們:men|留:liu2|給:gei3|他:ta1|作:zuo4|決:jue2|定:ding4|。:,Let's leave the decision to him.,3
27540,我希望你去。,neutral,我:wo3|希:xi1|望:wang4|你:ni3|去:qu4|。:,I hope you go.,3
27541,我正忙著為明天作準備。,traditional,我:wo3|正:zheng4|忙:mang2|著:zhe|為:wei4|明:ming2|天:tian1|作:zuo4|準:zhun3|備:bei4|。:,I am busy preparing for tomorrow.,4
27542,她邊哭邊回答。,traditional,她:ta1|邊:bian1|哭:ku1|邊:bian1|回:hui2|答:da2|。:,She answered while crying.,2
27543,她昨天臥病在床。,neutral,她:ta1|昨:zuo2|天:tian1|臥:wo4|病:bing4|在:zai4|床:chuang2|。:,She was bedridden yesterday.,beyond-hsk
27544,Ruriko是個高中生。,traditional,Ruriko:|是:shi4|個:ge4|高:gao1|中:zhong1|生:sheng1|。:,Ruriko is a high school student.,1
27545,珍沒打網球，是嗎？,traditional,珍:zhen1|沒:mei2|打:da3|網:wang3|球:qiu2|，:|是:shi4|嗎:ma|？:,"Jane didn't play tennis, did she?",5
27546,說日語對我來說很容易。,traditional,說:shuo1|日:ri4|語:yu3|對:dui4|我:wo3|來:lai2|說:shuo1|很:hen3|容:rong2|易:yi4|。:,Speaking Japanese is easy for me.,3
27547,梅格跟肯一樣高。,traditional,梅:mei2|格:ge2|跟:gen1|肯:ken3|一:yi1|樣:yang4|高:gao1|。:,Meg is as tall as Ken.,6
27548,她很漂亮，不是嗎？,traditional,她:ta1|很:hen3|漂:piao4|亮:liang4|，:|不:bu2|是:shi4|嗎:ma|？:,"She is very beautiful, isn't she?",2
27549,我的狗總是跟著我。,traditional,我:wo3|的:de|狗:gou3|總:zong3|是:shi4|跟:gen1|著:zhe|我:wo3|。:,My dog always follows me.,4
27550,她說他很英俊。,traditional,她:ta1|說:shuo1|他:ta1|很:hen3|英:ying1|俊:jun4|。:,She said he is very handsome.,7-9
27551,露西是一名來自美國的學生。,traditional,露:lu4|西:xi1|是:shi4|一:yi1|名:ming2|來:lai2|自:zi4|美:mei3|國:guo2|的:de|學:xue2|生:sheng1|。:,Lucy is a student from the United States.,6
27552,請原諒我遲到。,traditional,請:qing3|原:yuan2|諒:liang4|我:wo3|遲:chi2|到:dao4|。:,Please forgive me for being late.,6
27553,他在自助餐廳吃午餐。,traditional,他:ta1|在:zai4|自:zi4|助:zhu4|餐:can1|廳:ting1|吃:chi1|午:wu3|餐:can1|。:,He is having lunch at the buffet.,5
27554,紐約充滿著高樓大廈。,traditional,紐:niu3|約:yue1|充:chong1|滿:man3|著:zhe|高:gao1|樓:lou2|大:da4|廈:sha4|。:,New York is filled with skyscrapers.,7-9
27555,在井底很難找到真理。,traditional,在:zai4|井:jing3|底:di3|很:hen3|難:nan2|找:zhao3|到:dao4|真:zhen1|理:li3|。:,It's hard to find the truth at the bottom of the well.,6
27556,她被安葬在她的家鄉。,traditional,她:ta1|被:bei4|安:an1|葬:zang4|在:zai4|她:ta1|的:de|家:jia1|鄉:xiang1|。:,She was buried in her hometown.,7-9
27557,她不想涉入其中。,neutral,她:ta1|不:bu4|想:xiang3|涉:she4|入:ru4|其:qi2|中:zhong1|。:,She doesn't want to get involved.,6
27558,警方拘留了他。,neutral,警:jing3|方:fang1|拘:ju1|留:liu2|了:le|他:ta1|。:,The police detained him.,7-9
27559,你的妹妹唸幾年級？,traditional,你:ni3|的:de|妹:mei4|妹:mei4|唸:nian4|幾:ji3|年:nian2|級:ji2|？:,What grade is your sister in?,beyond-hsk
27560,鮑伯來前我們不會開始。,traditional,鮑:bao4|伯:bo2|來:lai2|前:qian2|我:wo3|們:men|不:bu4|會:hui4|開:kai1|始:shi3|。:,We won't start until Bob arrives.,beyond-hsk
27561,他的腿部肌肉在他卧床不起的七个月中萎缩了。,simplified,他:ta1|的:de|腿:tui3|部:bu4|肌:ji1|肉:rou4|在:zai4|他:ta1|卧:wo4|床:chuang2|不:bu4|起:qi3|的:de|七:qi1|个:ge4|月:yue4|中:zhong1|萎:wei1|缩:suo1|了:le|。:,His leg muscles atrophied during the seven months he was bedridden.,7-9
27562,鲍勃通常十点上床。,simplified,鲍:bao4|勃:bo2|通:tong1|常:chang2|十:shi2|点:dian3|上:shang4|床:chuang2|。:,Bob usually goes to bed at ten.,beyond-hsk
27563,鲍勃在他房间里有很多书。,simplified,鲍:bao4|勃:bo2|在:zai4|他:ta1|房:fang2|间:jian1|里:li3|有:you3|很:hen3|多:duo1|书:shu1|。:,Bob has many books in his room.,beyond-hsk
27564,鲍勃几乎把他所收集的所有邮票给了缇娜，只留了一点给他自己。,simplified,鲍:bao4|勃:bo2|几:ji1|乎:hu1|把:ba3|他:ta1|所:suo3|收:shou1|集:ji2|的:de|所:suo3|有:you3|邮:you2|票:piao4|给:gei3|了:le|缇:ti2|娜:na4|，:|只:zhi3|留:liu2|了:le|一:yi4|点:dian3|给:gei3|他:ta1|自:zi4|己:ji3|。:,"Bob gave almost all the stamps he collected to Tina, leaving just a few for himself.",beyond-hsk
27565,鲍勃有太多的书要读。,simplified,鲍:bao4|勃:bo2|有:you3|太:tai4|多:duo1|的:de|书:shu1|要:yao4|读:du2|。:,Bob has too many books to read.,beyond-hsk
27566,鲍勃无法控制他的愤怒。,simplified,鲍:bao4|勃:bo2|无:wu2|法:fa3|控:kong4|制:zhi4|他:ta1|的:de|愤:fen4|怒:nu4|。:,Bob can't control his anger.,beyond-hsk
27567,你晚餐想吃什麼?,traditional,你:ni3|晚:wan3|餐:can1|想:xiang3|吃:chi1|什:shen2|麼:me|?:,What do you want for dinner?,2
27568,這班火車九點鐘發車。,traditional,這:zhe4|班:ban1|火:huo3|車:che1|九:jiu3|點:dian3|鐘:zhong1|發:fa1|車:che1|。:,This train departs at nine o'clock.,2
27569,庫米是父親喜歡狗的那個女孩。,traditional,庫:ku4|米:mi3|是:shi4|父:fu4|親:qin1|喜:xi3|歡:huan1|狗:gou3|的:de|那:na4|個:ge4|女:nv3|孩:hai2|。:,Kumi is the girl that the father likes who has a dog.,5
27570,Tom明天將漆柵欄。,traditional,Tom:|明:ming2|天:tian1|將:jiang1|漆:qi1|柵:shan1|欄:lan2|。:,Tom will paint the fence tomorrow.,beyond-hsk
27571,男人們穿著短袖上衣。,traditional,男:nan2|人:ren2|們:men|穿:chuan1|著:zhuo2|短:duan3|袖:xiu4|上:shang4|衣:yi1|。:,The men are wearing short-sleeved shirts.,6
27572,你和我是好朋友。,neutral,你:ni3|和:he2|我:wo3|是:shi4|好:hao3|朋:peng2|友:you3|。:,You and I are good friends.,1
27573,每周六鲍勃在杂货店做店员。,simplified,每:mei3|周:zhou1|六:liu4|鲍:bao4|勃:bo2|在:zai4|杂:za2|货:huo4|店:dian4|做:zuo4|店:dian4|员:yuan2|。:,"Every Saturday, Bob works as a clerk at the grocery store.",beyond-hsk
27574,哪條路通往市政廳？,traditional,哪:na3|條:tiao2|路:lu4|通:tong1|往:wang3|市:shi4|政:zheng4|廳:ting1|？:,Which road leads to the town hall?,5
27575,鲍勃忘记带通行证，这使得他上学迟到了。,simplified,鲍:bao4|勃:bo2|忘:wang4|记:ji4|带:dai4|通:tong1|行:xing2|证:zheng4|，:|这:zhe4|使:shi3|得:de|他:ta1|上:shang4|学:xue2|迟:chi2|到:dao4|了:le|。:,"Bob forgot to bring his pass, which made him late for school.",beyond-hsk
27576,清晨，鲍勃遇见了她的祖父。,simplified,清:qing1|晨:chen2|，:|鲍:bao4|勃:bo2|遇:yu4|见:jian4|了:le|她:ta1|的:de|祖:zu3|父:fu4|。:,"In the early morning, Bob met her grandfather.",beyond-hsk
27577,請告訴我你的電話號碼。,traditional,請:qing3|告:gao4|訴:su4|我:wo3|你:ni3|的:de|電:dian4|話:hua4|號:hao4|碼:ma3|。:,Please tell me your phone number.,4
27578,海报宣传活动偏离了其目标群体。,simplified,海:hai3|报:bao4|宣:xuan1|传:chuan2|活:huo2|动:dong4|偏:pian1|离:li2|了:le|其:qi2|目:mu4|标:biao1|群:qun2|体:ti3|。:,The poster campaign strayed from its target audience.,6
27579,你是医生吗？,simplified,你:ni3|是:shi4|医:yi1|生:sheng1|吗:ma|？:,Are you a doctor?,1
27580,你能自己搬這張桌子嗎?,traditional,你:ni3|能:neng2|自:zi4|己:ji3|搬:ban1|這:zhe4|張:zhang1|桌:zhuo1|子:zi|嗎:ma|?:,Can you move this table by yourself?,3
27581,警方指控他謀殺。,traditional,警:jing3|方:fang1|指:zhi3|控:kong4|他:ta1|謀:mou2|殺:sha1|。:,The police accused him of murder.,6
27582,你一定鋼琴彈得很好。,traditional,你:ni3|一:yi2|定:ding4|鋼:gang1|琴:qin2|彈:dan4|得:de2|很:hen3|好:hao3|。:,You must play the piano very well.,5
27583,據報紙上說，他自殺了。,traditional,據:ju4|報:bao4|紙:zhi3|上:shang4|說:shuo1|，:|他:ta1|自:zi4|殺:sha1|了:le|。:,"According to the newspaper, he committed suicide.",5
27584,一群年輕人在打架。,traditional,一:yi1|群:qun2|年:nian2|輕:qing1|人:ren2|在:zai4|打:da3|架:jia4|。:,A group of young people is fighting.,3
27585,這隻鳥叫作什麼?,traditional,這:zhe4|隻:zhi1|鳥:niao3|叫:jiao4|作:zuo4|什:shen2|麼:me|?:,What is this bird called?,2
27586,你看起來健康如昔。,traditional,你:ni3|看:kan4|起:qi3|來:lai2|健:jian4|康:kang1|如:ru2|昔:xi1|。:,You look as healthy as ever.,7-9
27587,她買的東西很昂貴。,traditional,她:ta1|買:mai3|的:de|東:dong1|西:xi1|很:hen3|昂:ang2|貴:gui4|。:,The things she bought are very expensive.,7-9
27588,我会把这些小猫给喜欢的人,simplified,我:wo3|会:hui4|把:ba3|这:zhe4|些:xie1|小:xiao3|猫:mao1|给:gei3|喜:xi3|欢:huan1|的:de|人:ren2,I will give these kittens to someone who likes them.,3
27589,我们可以有多相信他？,simplified,我:wo3|们:men|可:ke3|以:yi3|有:you3|多:duo1|相:xiang1|信:xin4|他:ta1|？:,How much can we trust him?,2
27590,所有的罪恶源于金钱的不足,simplified,所:suo3|有:you3|的:de|罪:zui4|恶:e4|源:yuan2|于:yu2|金:jin1|钱:qian2|的:de|不:bu4|足:zu2,All evils stem from a lack of money.,6
27591,最后我终于找到了答案了。,simplified,最:zui4|后:hou4|我:wo3|终:zhong1|于:yu2|找:zhao3|到:dao4|了:le|答:da2|案:an4|了:le|。:,"In the end, I finally found the answer.",4
27592,盡管她在減肥，她忍不住蛋糕的誘惑。,traditional,盡:jin3|管:guan3|她:ta1|在:zai4|減:jian3|肥:fei2|，:|她:ta1|忍:ren3|不:bu2|住:zhu4|蛋:dan4|糕:gao1|的:de|誘:you4|惑:huo4|。:,"Although she is on a diet, she can't resist the temptation of cake.",7-9
27593,所以學生都可以進圖書館的。,traditional,所:suo3|以:yi3|學:xue2|生:sheng1|都:dou1|可:ke3|以:yi3|進:jin4|圖:tu2|書:shu1|館:guan3|的:de|。:,So students can all enter the library.,2
27594,語言是人類最重大的发明之一。,ambiguous,語:yu3|言:yan2|是:shi4|人:ren2|類:lei4|最:zui4|重:zhong4|大:da4|的:de|发:fa1|明:ming2|之:zhi1|一:yi1|。:,Language is one of humanity's greatest inventions.,4
27595,他很討厭蛇。,traditional,他:ta1|很:hen3|討:tao3|厭:yan4|蛇:she2|。:,He really hates snakes.,5
27596,這個行為的目的是不明確的。,traditional,這:zhe4|個:ge4|行:xing2|為:wei4|的:de|目:mu4|的:di4|是:shi4|不:bu4|明:ming2|確:que4|的:de|。:,The purpose of this behavior is unclear.,2
27597,我因為這場雨而遲到了。,traditional,我:wo3|因:yin1|為:wei4|這:zhe4|場:chang3|雨:yu3|而:er2|遲:chi2|到:dao4|了:le|。:,I was late because of the rain.,4
27598,他很確信他可以通過考試。,traditional,他:ta1|很:hen3|確:que4|信:xin4|他:ta1|可:ke3|以:yi3|通:tong1|過:guo4|考:kao3|試:shi4|。:,He is very confident that he can pass the exam.,2
27599,他很后悔在年輕的時候沒有努力。,traditional,他:ta1|很:hen3|后:hou4|悔:hui3|在:zai4|年:nian2|輕:qing1|的:de|時:shi2|候:hou4|沒:mei2|有:you3|努:nu3|力:li4|。:,He regrets not working hard when he was young.,5
27600,得到他的幫助，我的工作現在很順利。,traditional,得:de2|到:dao4|他:ta1|的:de|幫:bang1|助:zhu4|，:|我:wo3|的:de|工:gong1|作:zuo4|現:xian4|在:zai4|很:hen3|順:shun4|利:li4|。:,"With his help, my work is going smoothly now.",2
27601,那個小孩跟我說“你好”。,traditional,那:na4|個:ge4|小:xiao3|孩:hai2|跟:gen1|我:wo3|說:shuo1|“:|你:ni3|好:hao3|”:|。:,"The child said ""hello"" to me.",1
27602,我想在這里休息一下。,traditional,我:wo3|想:xiang3|在:zai4|這:zhe4|里:li3|休:xiu1|息:xi1|一:yi1|下:xia4|。:,I want to take a break here.,1
27603,這個藥可能可以治到他的病。,traditional,這:zhe4|個:ge4|藥:yao4|可:ke3|能:neng2|可:ke3|以:yi3|治:zhi4|到:dao4|他:ta1|的:de|病:bing4|。:,This medicine might cure his illness.,4
27604,我不相信你已經遇到了他。,traditional,我:wo3|不:bu4|相:xiang1|信:xin4|你:ni3|已:yi3|經:jing1|遇:yu4|到:dao4|了:le|他:ta1|。:,I don't believe you have met him already.,4
27605,是不可能做的。,neutral,是:shi4|不:bu4|可:ke3|能:neng2|做:zuo4|的:de|。:,It's impossible to do.,2
27606,都是完全對立的觀點。,traditional,都:dou1|是:shi4|完:wan2|全:quan2|對:dui4|立:li4|的:de|觀:guan1|點:dian3|。:,They are completely opposing viewpoints.,3
27607,他讓我選擇喝茶還是喝咖啡。,traditional,他:ta1|讓:rang4|我:wo3|選:xuan3|擇:ze2|喝:he1|茶:cha2|還:hai2|是:shi4|喝:he1|咖:ka1|啡:fei1|。:,He let me choose between tea or coffee.,4
27608,茶太濃了，加點水吧。,traditional,茶:cha2|太:tai4|濃:nong2|了:le|，:|加:jia1|點:dian3|水:shui3|吧:ba|。:,The tea is too strong; add some water.,4
27609,這個女生有個可愛的娃娃。,traditional,這:zhe4|個:ge4|女:nv3|生:sheng1|有:you3|個:ge4|可:ke3|愛:ai4|的:de|娃:wa2|娃:wa2|。:,This girl has a cute doll.,6
27610,BYRON 離開了英國，再也不回去了。,traditional,BYRON:|離:li2|開:kai1|了:le|英:ying1|國:guo2|，:|再:zai4|也:ye3|不:bu4|回:hui2|去:qu4|了:le|。:,BYRON left the UK and will never return.,2
27611,她可能不來。,traditional,她:ta1|可:ke3|能:neng2|不:bu4|來:lai2|。:,She might not come.,2
27612,他不是專家所以他的意見不重要。,traditional,他:ta1|不:bu2|是:shi4|專:zhuan1|家:jia1|所:suo3|以:yi3|他:ta1|的:de|意:yi4|見:jian4|不:bu4|重:zhong4|要:yao4|。:,"He is not an expert, so his opinion is not important.",3
27613,我離開了日本有10年了。,traditional,我:wo3|離:li2|開:kai1|了:le|日:ri4|本:ben3|有:you3|10:|年:nian2|了:le|。:,I left Japan 10 years ago.,2
27614,他不滿意他現在的工資。,traditional,他:ta1|不:bu4|滿:man3|意:yi4|他:ta1|現:xian4|在:zai4|的:de|工:gong1|資:zi1|。:,He is not satisfied with his current salary.,3
27615,在時間的洗禮下，這事件已經被人們遺忘。,traditional,在:zai4|時:shi2|間:jian1|的:de|洗:xi3|禮:li3|下:xia4|，:|這:zhe4|事:shi4|件:jian4|已:yi3|經:jing1|被:bei4|人:ren2|們:men|遺:yi2|忘:wang4|。:,"With the passage of time, this event has been forgotten by people.",4
27616,這個夏天是不會有假期的。,traditional,這:zhe4|個:ge4|夏:xia4|天:tian1|是:shi4|不:bu4|會:hui4|有:you3|假:jia4|期:qi1|的:de|。:,There will be no vacation this summer.,2
27617,我想知道他會不會來這里。,traditional,我:wo3|想:xiang3|知:zhi1|道:dao4|他:ta1|會:hui4|不:bu4|會:hui4|來:lai2|這:zhe4|里:li3|。:,I wonder if he will come here.,1
27618,我沒有想過你會出現在這里。,traditional,我:wo3|沒:mei2|有:you3|想:xiang3|過:guo4|你:ni3|會:hui4|出:chu1|現:xian4|在:zai4|這:zhe4|里:li3|。:,I never thought you would appear here.,1
27619,JUDY打算穿她的新泳衣。,neutral,JUDY:|打:da3|算:suan4|穿:chuan1|她:ta1|的:de|新:xin1|泳:yong3|衣:yi1|。:,JUDY plans to wear her new swimsuit.,3
27620,金錢不是万能，但是沒有金錢，就万万不能。,traditional,金:jin1|錢:qian2|不:bu2|是:shi4|万:wan4|能:neng2|，:|但:dan4|是:shi4|沒:mei2|有:you3|金:jin1|錢:qian2|，:|就:jiu4|万:wan4|万:wan4|不:bu4|能:neng2|。:,"Money is not everything, but without money, you can't do anything.",3
27621,這改變不了什么。,traditional,這:zhe4|改:gai3|變:bian4|不:bu4|了:liao3|什:shen2|么:me|。:,This doesn't change anything.,2
27622,車站在兩米遠。,traditional,車:che1|站:zhan4|在:zai4|兩:liang3|米:mi3|遠:yuan3|。:,The station is two meters away.,1
27623,我一點錢都沒有。,traditional,我:wo3|一:yi1|點:dian3|錢:qian2|都:dou1|沒:mei2|有:you3|。:,I have no money at all.,1
27624,感謝討厭你的人。,traditional,感:gan3|謝:xie4|討:tao3|厭:yan4|你:ni3|的:de|人:ren2|。:,Thank those who dislike you.,5
27625,是的， 是时候离开了。,simplified,是:shi4|的:de|，:|是:shi4|时:shi2|候:hou4|离:li2|开:kai1|了:le|。:,"Yes, it's time to leave.",2
27626,我们尝试达到标准。,simplified,我:wo3|们:men|尝:chang2|试:shi4|达:da2|到:dao4|标:biao1|准:zhun3|。:,We try to meet the standards.,5
27627,锁一定是坏了。,simplified,锁:suo3|一:yi2|定:ding4|是:shi4|坏:huai4|了:le|。:,The lock must be broken.,5
27628,你明天做什么？,neutral,你:ni3|明:ming2|天:tian1|做:zuo4|什:shen2|么:me|？:,What are you doing tomorrow?,1
27629,我們同意分擔家務。,traditional,我:wo3|們:men|同:tong2|意:yi4|分:fen1|擔:dan1|家:jia1|務:wu4|。:,We agreed to share the housework.,4
27630,這首歌曲是由福斯特所寫的。,traditional,這:zhe4|首:shou3|歌:ge1|曲:qu3|是:shi4|由:you2|福:fu2|斯:si1|特:te4|所:suo3|寫:xie3|的:de|。:,This song was written by Foster.,7-9
27631,你能解釋一下你為什麼遲到嗎？,traditional,你:ni3|能:neng2|解:jie3|釋:shi4|一:yi1|下:xia4|你:ni3|為:wei4|什:shen2|麼:me|遲:chi2|到:dao4|嗎:ma|？:,Can you explain why you were late?,4
27632,你不喜歡生魚片，是嗎？,traditional,你:ni3|不:bu4|喜:xi3|歡:huan1|生:sheng1|魚:yu2|片:pian4|，:|是:shi4|嗎:ma|？:,"You don't like sashimi, do you?",2
27633,許多士兵在這裡陣亡。,traditional,許:xu3|多:duo1|士:shi4|兵:bing1|在:zai4|這:zhe4|裡:li3|陣:zhen4|亡:wang2|。:,Many soldiers died here.,6
