id,char,codepoint,pinyins_tone3,pinyins_display,gloss_en,examples
10752,矿,U+77FF,kuang4,kuàng,mineral deposit; ore deposit,井陉矿区|人矿|南山矿区
10753,砀,U+7800,dang4,dàng,stone with color veins,砀山|砀山县
10754,码,U+7801,ma3,mǎ,(archaic) agate,中文标准交换码|乱码|二维码
10755,砂,U+7802,sha1,shā,sand,丹砂|噴砂|喷砂
10756,砃,U+7803,dan1,dān,white stone,
10757,砄,U+7804,jue2,jué,stone,
10758,砅,U+7805,li4,lì,cross stream by stepping on stones,
10759,砆,U+7806,fu1,fū,agate,
10760,砇,U+7807,min2,mín,,
10761,砈,U+7808,e3,ě,astatine (chemistry) (Tw),
10762,砉,U+7809,huo4|hua1|xu1,huò|huā|xū,sound of a thing flying fast by,
10763,砊,U+780A,kang1|kang4,kāng|kàng,,
10764,砋,U+780B,zhi3,zhǐ,,
10765,砌,U+780C,qi4|qie4,qì|qiè,to build by laying bricks or stones,堆砌|壘砌|垒砌
10766,砍,U+780D,kan3,kǎn,to chop,濫砍濫伐|滥砍滥伐|砍伐
10767,砎,U+780E,jie4,jiè,,
10768,砏,U+780F,bin1|fen1|pin1,bīn|fēn|pīn,,
10769,砐,U+7810,e4,è,,
10770,砑,U+7811,ya4,yà,to calender,
10771,砒,U+7812,pi1,pī,arsenic,甲之蜜糖，乙之砒霜|白砒|砒霜
10772,砓,U+7813,zhe2,zhé,,
10773,研,U+7814,yan2|yan4|xing2,yán|yàn|xíng,to grind,中國教育和科研計算機網|中国教育和科研计算机网|中央研究院
10774,砕,U+7815,sui4,suì,variant of 碎[sui4],
10775,砖,U+7816,zhuan1,zhuān,variant of 甎|砖[zhuan1],冰砖|地板砖|地砖
10776,砗,U+7817,che1,chē,used in 硨磲|砗磲[che1 qu2],砗磲
10777,砘,U+7818,dun4,dùn,(agriculture) to compact loose soil with a stone roller after sowing seeds,砘子
10778,砙,U+7819,wa3,wǎ,,
10779,砚,U+781A,yan4,yàn,ink-stone,古砚|同砚|墨砚
10780,砛,U+781B,jin1,jīn,,
10781,砜,U+781C,feng1,fēng,sulfone,
10782,砝,U+781D,fa2|fa3|jie2|ge2,fá|fǎ|jié|gé,used in 砝碼|砝码[fa3 ma3],砝碼|砝码
10783,砞,U+781E,mo4,mò,,
10784,砟,U+781F,zha3|zha4|zuo2,zhǎ|zhà|zuó,fragments,
10785,砠,U+7820,ju1|zu1,jū|zū,rocky hill,
10786,砡,U+7821,yu4,yù,,
10787,砢,U+7822,ke1|luo3,kē|luǒ,used in 砢磣|砢碜[ke1 chen5],砢磣|砢碜
10788,砣,U+7823,tuo2,tuó,steelyard weight,夯砣|砣子|碾砣
10789,砤,U+7824,tuo2,tuó,,
10790,砥,U+7825,di3|zhi3,dǐ|zhǐ,baffle (pier),中流砥柱|砥礪|砥砺
10791,砦,U+7826,zhai4,zhài,variant of 寨[zhai4],
10792,砧,U+7827,zhen1,zhēn,anvil,砧木|砧板|砧骨
10793,砨,U+7828,e4,è,,
10794,砩,U+7829,fu2|fei4,fú|fèi,dam up water with rocks,
10795,砪,U+782A,mu3,mǔ,,
10796,砫,U+782B,zhu4|zhu3,zhù|zhǔ,ancestral tablet,
10797,砬,U+782C,la2|li4|la1,lá|lì|lā,a huge boulder,白石砬子
10798,砭,U+782D,bian1,biān,ancient stone acupuncture needle,攻砭|痛砭|痛砭時弊
10799,砮,U+782E,nu3|nu2,nǔ|nú,flint,
10800,砯,U+782F,ping1,pīng,(old) (onom.) sound of water against rocks,
10801,砰,U+7830,peng1|ping1|peng4,pēng|pīng|pèng,(onom.) bang; thump,心砰砰跳|砰砰
10802,砱,U+7831,ling2,líng,,
10803,砲,U+7832,pao4|bao2|pu1,pào|báo|pū,variant of 炮[pao4],丟輪扯砲|大沽口砲臺|大沽砲臺
10804,砳,U+7833,le4,lè,rocky,
10805,破,U+7834,po4,pò,broken,一語破的|一语破的|一語道破
10806,砵,U+7835,bo1|e4,bō|è,alms bowl,
10807,砶,U+7836,po4,pò,,
10808,砷,U+7837,shen1,shēn,arsenic (chemistry),二甲基砷酸|亞砷|亚砷
10809,砸,U+7838,za2,zá,to smash,亂石砸死|乱石砸死|小婊砸
10810,砹,U+7839,ai4,ài,astatine (chemistry),
10811,砺,U+783A,li4,lì,grind,再接再砺|砥砺|磨砺
10812,砻,U+783B,long2,lóng,(dialect) tool used to hull rice (similar to a grain mill),雅砻江
10813,砼,U+783C,tong2,tóng,concrete (building material),
10814,砽,U+783D,yong4,yòng,,
10815,砾,U+783E,li4,lì,(bound form) gravel; small stone,沙砾|漂砾|火山砾
10816,砿,U+783F,kuang4,kuàng,,
10817,础,U+7840,chu3,chǔ,foundation,基础|基础问题|基础教育
10818,硁,U+7841,keng1,kēng,obstinate,
10819,硂,U+7842,quan2,quán,,
10820,硃,U+7843,zhu1,zhū,(bound form) cinnabar,皓齒硃唇|硃砂
10821,硄,U+7844,kuang1|guang1,kuāng|guāng,,
10822,硅,U+7845,gui1|he4,guī|hè,silicon (chemistry),二氧化硅|可控硅|四氟化硅
10823,硆,U+7846,e4,è,,
10824,硇,U+7847,nao2,náo,used in 硇砂[nao2 sha1],硇砂
10825,硈,U+7848,qia4,qià,,
10826,硉,U+7849,lu4,lù,,
10827,硊,U+784A,wei3|hui4|gui4,wěi|huì|guì,,
10828,硋,U+784B,ai4,ài,,
10829,硌,U+784C,ge4|luo4|li4,gè|luò|lì,(coll.) (of sth hard or rough) to press against some part of one's body causing discomfort (like a small stone in one's shoe),
10830,硍,U+784D,xian4|yin2|ken4|keng1|yin3,xiàn|yín|kèn|kēng|yǐn,rumbling of rolling stones,
10831,硎,U+784E,xing2|keng1,xíng|kēng,whetstone,
10832,硏,U+784F,yan2|yan4,yán|yàn,variant of 研[yan2],
10833,硐,U+7850,dong4|tong2|liu2,dòng|tóng|liú,variant of 洞[dong4],硐室
10834,硑,U+7851,peng1|ping2,pēng|píng,old variant of 砰[peng1],
10835,硒,U+7852,xi1,xī,selenium (chemistry),硒鼓
10836,硓,U+7853,lao3,lǎo,,
10837,硔,U+7854,hong2|gong3,hóng|gǒng,,
10838,硕,U+7855,shuo4,shuò,(bound form) large; big,企业管理硕士|企管硕士|健硕
10839,硖,U+7856,xia2,xiá,place name,
10840,硗,U+7857,qiao1,qiāo,stony soil,
10841,硘,U+7858,qing,qing,,
10842,硙,U+7859,wei2|wei4,wéi|wèi,used in 磑磑|硙硙[ai2 ai2],硙硙
10843,硚,U+785A,qiao2,qiáo,used in place names,硚口|硚口区|硚头
10844,硛,U+785B,yi4,yì,,
10845,硜,U+785C,keng1|qing4,kēng|qìng,obstinate,
10846,硝,U+785D,xiao1|qiao4,xiāo|qiào,saltpeter,三硝基甲苯|亞硝胺|亚硝胺
10847,硞,U+785E,que4|ke4|ku4,què|kè|kù,,
10848,硟,U+785F,chan4,chàn,,
10849,硠,U+7860,lang2,láng,,
10850,硡,U+7861,hong1,hōng,,
10851,硢,U+7862,yu2,yú,,
10852,硣,U+7863,xiao1,xiāo,,
10853,硤,U+7864,xia2,xiá,place name,
10854,硥,U+7865,mang3|bang4,mǎng|bàng,,
10855,硦,U+7866,luo4|long4,luò|lòng,,
10856,硧,U+7867,yong3|tong2,yǒng|tóng,,
10857,硨,U+7868,che1,chē,used in 硨磲|砗磲[che1 qu2],硨磲
10858,硩,U+7869,che4,chè,,
10859,硪,U+786A,wo4|e2|yi3,wò|é|yǐ,see 石硪[shi2 wo4],石硪
10860,硫,U+786B,liu2|chu4,liú|chù,sulfur (chemistry),乙硫醇|二氧化硫|二硫化碳
10861,硬,U+786C,ying4|geng3,yìng|gěng,hard; stiff; solid,來硬的|来硬的|僵硬
10862,硭,U+786D,mang2,máng,crude saltpeter,
10863,确,U+786E,que4,què,variant of 確|确[que4],上确界|下确界|不明确
10864,硯,U+786F,yan4,yàn,ink-stone,古硯|同硯|墨硯
10865,硰,U+7870,sha1,shā,,
10866,硱,U+7871,kun3,kǔn,,
10867,硲,U+7872,yu4,yù,,
10868,硳,U+7873,chi4,chì,,
10869,硴,U+7874,hua1,huā,,
10870,硵,U+7875,lu3,lǔ,sal ammoniac,
10871,硶,U+7876,chen3|cen2,chěn|cén,,
10872,硷,U+7877,jian3,jiǎn,variant of 鹼|碱[jian3],烟硷
10873,硸,U+7878,nve4,nüè,,
10874,硹,U+7879,song1,sōng,,
10875,硺,U+787A,zhuo2,zhuó,,
10876,硻,U+787B,keng1|keng3,kēng|kěng,obstinate,
10877,硼,U+787C,peng2|peng1,péng|pēng,boron (chemistry),三氟化硼|硼砂|硼酸
10878,硽,U+787D,yan1|yan3,yān|yǎn,,
10879,硾,U+787E,zhui4|duo3,zhuì|duǒ,iodide,
10880,硿,U+787F,kong1|kong4,kōng|kòng,,
10881,碀,U+7880,cheng2,chéng,,
10882,碁,U+7881,qi2,qí,variant of 棋[qi2],宏碁|宏碁集團|宏碁集团
10883,碂,U+7882,zong4|cong2,zòng|cóng,,
10884,碃,U+7883,qing4,qìng,(stone),
10885,碄,U+7884,lin2,lín,,
10886,碅,U+7885,jun1,jūn,,
10887,碆,U+7886,bo1,bō,,
10888,碇,U+7887,ding4,dìng,variant of 碇[ding4],石碇|石碇鄉|石碇乡
10889,碈,U+7888,min2|hun1,mín|hūn,old variant of 珉[min2],
10890,碉,U+7889,diao1,diāo,rock cave (archaic),碉堡
10891,碊,U+788A,jian1|zhan4,jiān|zhàn,,
10892,碋,U+788B,he4,hè,,
10893,碌,U+788C,lu4|liu4|luo4,lù|liù|luò,used in 碌碡[liu4 zhou5],一骨碌|勞碌|劳碌
10894,碍,U+788D,ai4,ài,to hinder,分裂情感性障碍|创伤后应激障碍|勃起功能障碍
10895,碎,U+788E,sui4,suì,(transitive or intransitive) to break into pieces; to shatter; to crumble,七零八碎|不碎玻璃|切碎
10896,碏,U+788F,que4|xi1,què|xī,(gems),
10897,碐,U+7890,leng2,léng,,
10898,碑,U+7891,bei1,bēi,a monument,五人墓碑記|五人墓碑记|人民英雄紀念碑
10899,碒,U+7892,yin2,yín,,
10900,碓,U+7893,dui4|dui1,duì|duī,pestle,
10901,碔,U+7894,wu3,wǔ,inferior gem,
10902,碕,U+7895,qi2|qi1|qi3,qí|qī|qǐ,,
10903,碖,U+7896,lun3|lun4|lun2,lǔn|lùn|lún,,
10904,碗,U+7897,wan3,wǎn,variant of 碗[wan3],一碗水端平|丟飯碗|丢饭碗
10905,碘,U+7898,dian3,diǎn,iodine (chemistry),放射性碘|碘化鈉|碘化钠
10906,碙,U+7899,nao2|gang1,náo|gāng,,
10907,碚,U+789A,bei4,bèi,(used in place names),北碚|北碚區|北碚区
10908,碛,U+789B,qi4,qì,(bound form) moraine; rocks in shallow water,冰碛|沙碛
10909,碜,U+789C,chen3,chěn,gritty (of food),寒碜|牙碜|砢碜
10910,碝,U+789D,ruan3,ruǎn,jade-like stone,
10911,碞,U+789E,yan2,yán,cliff,
10912,碟,U+789F,die2|she2,dié|shé,dish,光碟|光磁碟|光磁碟機
10913,碠,U+78A0,ding4,dìng,,
10914,碡,U+78A1,du2|zhou2,dú|zhóu,"stone roller (for threshing grain, leveling ground etc)",碌碡
10915,碢,U+78A2,tuo2,tuó,,
10916,碣,U+78A3,jie2|ke3|ya4,jié|kě|yà,stone tablet,碑碣
10917,碤,U+78A4,ying1,yīng,,
10918,碥,U+78A5,bian3,biǎn,dangerous rocks jutting out over rapids,
10919,碦,U+78A6,ke4,kè,,
10920,碧,U+78A7,bi4,bì,green jade,倩碧|天水碧|小家碧玉
10921,碨,U+78A8,wei4|wei3,wèi|wěi,,
10922,碩,U+78A9,shuo4,shuò,(bound form) large; big,企業管理碩士|企管碩士|健碩
10923,碪,U+78AA,zhen1|an3|kan4,zhēn|ǎn|kàn,variant of 砧[zhen1],
10924,碫,U+78AB,duan4,duàn,coarse stone (used for whetstone),
10925,碬,U+78AC,xia2,xiá,whetstone,
10926,碭,U+78AD,dang4,dàng,stone with color veins,碭山|碭山縣
10927,碮,U+78AE,ti2|di1,tí|dī,,
10928,碯,U+78AF,nao3,nǎo,variant of 瑙[nao3],
10929,碰,U+78B0,peng4,pèng,variant of 碰[peng4],單方過失碰撞|单方过失碰撞|對對碰
10930,碱,U+78B1,jian3|xian2,jiǎn|xián,variant of 鹼|碱[jian3],三尖杉酯碱|乙酰胆碱|千碱基对
10931,碲,U+78B2,di4,dì,tellurium (chemistry),
10932,碳,U+78B3,tan4,tàn,carbon (chemistry),一氧化碳|七碳糖|三碳糖
10933,碴,U+78B4,cha2|cha1,chá|chā,fault,不對碴兒|不对碴儿|冰碴
10934,碵,U+78B5,tian2,tián,,
10935,碶,U+78B6,qi4,qì,,
10936,碷,U+78B7,dun4,dùn,,
10937,碸,U+78B8,feng1,fēng,sulfone,
10938,碹,U+78B9,xuan4,xuàn,,
10939,確,U+78BA,que4,què,authenticated,上確界|下確界|不明確
10940,碻,U+78BB,que4|qiao1,què|qiāo,solid,
10941,碼,U+78BC,ma3,mǎ,(archaic) agate,中文標準交換碼|亂碼|二維碼
10942,碽,U+78BD,gong1,gōng,,
10943,碾,U+78BE,nian3,niǎn,stone roller,水碾|汽碾|碾坊
10944,碿,U+78BF,su4|xie4,sù|xiè,,
10945,磀,U+78C0,e2,é,,
10946,磁,U+78C1,ci2,cí,magnetic,光磁|光磁碟|光磁碟機
10947,磂,U+78C2,liu2|liu4,liú|liù,,
10948,磃,U+78C3,si1|ti2,sī|tí,,
10949,磄,U+78C4,tang2,táng,,
10950,磅,U+78C5,bang4|pang2|pang1,bàng|páng|pāng,scale (instrument for weighing),台磅|磅刷|磅礡
10951,磆,U+78C6,hua2|ke3|gu1,huá|kě|gū,,
10952,磇,U+78C7,pi1,pī,,
10953,磈,U+78C8,wei3|kui3,wěi|kuǐ,rocky,
10954,磉,U+78C9,sang3,sǎng,stone plinth,
10955,磊,U+78CA,lei3,lěi,lumpy,丁磊|光明磊落|磊磊
10956,磋,U+78CB,cuo1,cuō,"(old) to polish bones, horns, ivory etc into tools",切磋|切磋琢磨|磋商
10957,磌,U+78CC,tian2,tián,,
10958,磍,U+78CD,xia2|qia4|ya4,xiá|qià|yà,,
10959,磎,U+78CE,xi1|qi1,xī|qī,mountain stream,
10960,磏,U+78CF,lian2|qian1,lián|qiān,,
10961,磐,U+78D0,pan2,pán,firm,堅如磐石|坚如磐石|堅若磐石
10962,磑,U+78D1,wei2|wei4|ai2|gai4,wéi|wèi|ái|gài,used in 磑磑|硙硙[ai2 ai2],磑磑
10963,磒,U+78D2,yun3,yǔn,,
10964,磓,U+78D3,dui1|zhui4,duī|zhuì,,
10965,磔,U+78D4,zhe2,zhé,"old term for the right-falling stroke in Chinese characters (e.g. the last stroke of 大[da4]), now called 捺[na4]",
10966,磕,U+78D5,ke1|ke3,kē|kě,to tap,死磕|磕碰|磕磕
10967,磖,U+78D6,la2|la1,lá|lā,old variant of 砬[la2],
10968,磗,U+78D7,zhuan1,zhuān,,
10969,磘,U+78D8,yao2,yáo,,
10970,磙,U+78D9,gun3,gǔn,roller,石磙
10971,磚,U+78DA,zhuan1|tuan2|tuo2,zhuān|tuán|tuó,brick,冰磚|地板磚|地磚
10972,磛,U+78DB,chan2,chán,cliff,
10973,磜,U+78DC,qi4|qi1,qì|qī,(used in place names),
10974,磝,U+78DD,ao2|qiao1,áo|qiāo,,
10975,磞,U+78DE,peng1,pēng,,
10976,磟,U+78DF,liu4|lu4,liù|lù,variant of 碌[liu4],
10977,磠,U+78E0,lu3,lǔ,sal ammoniac,
10978,磡,U+78E1,kan4,kàn,dangerous sea-cliff,紅磡|红磡
10979,磢,U+78E2,chuang3,chuǎng,,
10980,磣,U+78E3,chen3|ca4,chěn|cà,gritty (of food),寒磣|牙磣|砢磣
10981,磤,U+78E4,yin3|yin1,yǐn|yīn,(onom.) sound of thunder,
10982,磥,U+78E5,lei3|lei2,lěi|léi,a heap of stones,
10983,磦,U+78E6,biao1,biāo,,
10984,磧,U+78E7,qi4,qì,(bound form) moraine; rocks in shallow water,冰磧|沙磧
10985,磨,U+78E8,mo2|mo4,mó|mò,to rub,不可磨滅|不可磨灭|刀不磨要生鏽，人不學要落後
10986,磩,U+78E9,qi4|zhu2,qì|zhú,,
10987,磪,U+78EA,cui1,cuī,a high mountain,
10988,磫,U+78EB,zong1,zōng,,
10989,磬,U+78EC,qing4|qing3,qìng|qǐng,"chime stones, ancient percussion instrument made of stone or jade pieces hung in a row and struck as a xylophone",磬竭|編磬|编磬
10990,磭,U+78ED,chuo4,chuò,big lip,
10991,磮,U+78EE,lun2,lún,,
10992,磯,U+78EF,ji1,jī,breakwater,加利福尼亞大學洛杉磯分校|栗腹磯鶇|洛杉磯
10993,磰,U+78F0,shan4,shàn,,
10994,磱,U+78F1,lao2,láo,,
10995,磲,U+78F2,qu2,qú,used in 硨磲|砗磲[che1 qu2],硨磲|砗磲
10996,磳,U+78F3,zeng1,zēng,,
10997,磴,U+78F4,deng4|deng1,dèng|dēng,cliff-ledge,磴口|磴口縣|磴口县
10998,磵,U+78F5,jian4,jiàn,variant of 澗|涧[jian4],
10999,磶,U+78F6,xi4,xì,,
11000,磷,U+78F7,lin2|lin4|lin3|ling2,lín|lìn|lǐn|líng,variant of 磷[lin2],三氯化磷|三氯氧磷|三磷酸腺苷
11001,磸,U+78F8,ding4,dìng,,
11002,磹,U+78F9,tan2|dian4,tán|diàn,stone wedge,
11003,磺,U+78FA,huang2|kuang4|gong3,huáng|kuàng|gǒng,sulfur,二硫基丙磺酸鈉|二硫基丙磺酸钠|烷基苯磺酸鈉
11004,磻,U+78FB,pan2|bo1,pán|bō,name of a river in Shaanxi,
11005,磼,U+78FC,za2|she2,zá|shé,,
11006,磽,U+78FD,qiao1|qiao3|qiao4|ao2,qiāo|qiǎo|qiào|áo,stony soil,
11007,磾,U+78FE,di1,dī,,
11008,磿,U+78FF,li4,lì,,
11009,礀,U+7900,jian4,jiàn,variant of 澗|涧[jian4],
11010,礁,U+7901,jiao1,jiāo,reef,堡礁|大堡礁|斯卡伯勒礁
11011,礂,U+7902,xi1,xī,,
11012,礃,U+7903,zhang3,zhǎng,,
11013,礄,U+7904,qiao2,qiáo,used in place names,礄口|礄口區|礄頭
11014,礅,U+7905,dun1,dūn,stone block,
11015,礆,U+7906,jian3|xian3,jiǎn|xiǎn,variant of 鹼|碱[jian3],煙礆|菸礆
11016,礇,U+7907,yu4,yù,,
11017,礈,U+7908,zhui4,zhuì,,
11018,礉,U+7909,he2|qiao1|qiao4|ao2,hé|qiāo|qiào|áo,,
11019,礊,U+790A,ke4|huo4,kè|huò,,
11020,礋,U+790B,ze2,zé,,
11021,礌,U+790C,lei2|lei4|lei3,léi|lèi|lěi,used in 礌石[lei2 shi2],礌石
11022,礍,U+790D,jie2,jié,,
11023,礎,U+790E,chu3,chǔ,foundation,基礎|基礎問題|基礎教育
11024,礏,U+790F,ye4,yè,,
11025,礐,U+7910,que4|hu2,què|hú,(arch.) precious stone,
11026,礑,U+7911,dang4,dàng,,
11027,礒,U+7912,yi3,yǐ,,
11028,礓,U+7913,jiang1,jiāng,a small stone,砂礓
11029,礔,U+7914,pi1,pī,,
11030,礕,U+7915,pi1,pī,,
11031,礖,U+7916,yu4,yù,,
11032,礗,U+7917,pin1,pīn,sound of crushed stone,
11033,礘,U+7918,e4|qi4,è|qì,,
11034,礙,U+7919,ai4|yi2,ài|yí,to hinder,分裂情感性障礙|創傷後應激障礙|勃起功能障礙
11035,礚,U+791A,ke1,kē,variant of 磕[ke1],
11036,礛,U+791B,jian1,jiān,,
11037,礜,U+791C,yu4,yù,arsenic,礜石
11038,礝,U+791D,ruan3,ruǎn,old variant of 碝[ruan3],
11039,礞,U+791E,meng2,méng,(mineral),
11040,礟,U+791F,pao4,pào,,
11041,礠,U+7920,ci2,cí,,
11042,礡,U+7921,bo2,bó,used in 磅礡|磅礴[pang2 bo2],磅礡
11043,礢,U+7922,yang3,yǎng,,
11044,礣,U+7923,ma4,mà,,
11045,礤,U+7924,ca3,cǎ,shredder,礤床|礤床兒|礤床儿
11046,礥,U+7925,xian2|xin2,xián|xín,,
11047,礦,U+7926,kuang4|gong3,kuàng|gǒng,mineral deposit; ore deposit,井陘礦區|人礦|南山礦區
11048,礧,U+7927,lei2|lei4|lei3,léi|lèi|lěi,roll stone down hill,
11049,礨,U+7928,lei3,lěi,,
11050,礩,U+7929,zhi4,zhì,,
11051,礪,U+792A,li4,lì,grind,再接再礪|砥礪|磨礪
11052,礫,U+792B,li4|luo4,lì|luò,(bound form) gravel; small stone,沙礫|漂礫|火山礫
11053,礬,U+792C,fan2,fán,alum,明礬|白礬|皂礬
11054,礭,U+792D,que4,què,,
11055,礮,U+792E,pao4,pào,ancient ballista for throwing heavy stones,
11056,礯,U+792F,ying1,yīng,,
11057,礰,U+7930,li4,lì,,
11058,礱,U+7931,long2,lóng,(dialect) tool used to hull rice (similar to a grain mill),雅礱江
11059,礲,U+7932,long2,lóng,old variant of 礱|砻[long2],
11060,礳,U+7933,mo4,mò,,
11061,礴,U+7934,bo2,bó,used in 磅礡|磅礴[pang2 bo2],磅礴
11062,礵,U+7935,shuang1,shuāng,arsenic,
11063,礶,U+7936,guan4,guàn,,
11064,礷,U+7937,lan2,lán,,
11065,礸,U+7938,ca3,cǎ,,
11066,礹,U+7939,yan2|yan3,yán|yǎn,,
11067,示,U+793A,shi4|qi2|zhi4|shi2,shì|qí|zhì|shí,to show,不甘示弱|以示警戒|來示
11068,礻,U+793B,shi4,shì,,
11069,礼,U+793C,li3,lǐ,surname Li,下水礼|以礼相待|伴手礼
11070,礽,U+793D,reng2,réng,blessings,
11071,社,U+793E,she4,shè,(bound form) society; organization; agency,上流社會|上流社会|中國大百科全書出版社
11072,礿,U+793F,yue4,yuè,spring imperial ancestral sacrifice,
11073,祀,U+7940,si4,sì,to sacrifice,奉祀|祀物|祀神
11074,祁,U+7941,qi2|zhi3,qí|zhǐ,surname Qi,宋祁|朱祁鈺|朱祁钰
11075,祂,U+7942,ta1,tā,(third person pronoun for a divine being),
11076,祃,U+7943,ma4,mà,(arch.) religious ritual on setting out for war,
11077,祄,U+7944,xie4,xiè,to bless,
11078,祅,U+7945,yao1,yāo,evil spirit,
11079,祆,U+7946,xian1,xiān,"Ahura Mazda, the creator deity in Zoroastrianism",祆教
11080,祇,U+7947,qi2|chi2|zhi1|zhi3,qí|chí|zhī|zhǐ,variant of 只[zhi3],地祇|神祇
11081,祈,U+7948,qi2|gui3,qí|guǐ,to implore,啟應祈禱|启应祈祷|祈仙台
11082,祉,U+7949,zhi3,zhǐ,felicity,潭祉|祉祿|祉禄
11083,祊,U+794A,beng1|fang1,bēng|fāng,side altar inside ancestral temple,
11084,祋,U+794B,dui4,duì,,
11085,祌,U+794C,zhong4|chong1,zhòng|chōng,,
11086,祍,U+794D,ren4,rèn,old variant of 衽[ren4],
11087,祎,U+794E,yi1,yī,excellent,
11088,祏,U+794F,shi2,shí,stone shrine,
11089,祐,U+7950,you4,yòu,(of divinity) to bless,保祐|庇祐
11090,祑,U+7951,zhi4,zhì,,
11091,祒,U+7952,tiao2,tiáo,,
11092,祓,U+7953,fu2|fei4,fú|fèi,to cleanse,祓濯|祓禊|祓除
11093,祔,U+7954,fu4,fù,worship ancestors,
11094,祕,U+7955,mi4|bi4,mì|bì,variant of 秘[mi4],大便祕結|奧祕|怪祕
11095,祖,U+7956,zu3|jie1,zǔ|jiē,surname Zu,五祖拳|伯叔祖母|伯叔祖父
11096,祗,U+7957,zhi1,zhī,respectful (ly),
11097,祘,U+7958,suan4,suàn,"variant of 算[suan4], to calculate",
11098,祙,U+7959,mei4,mèi,,
11099,祚,U+795A,zuo4,zuò,blessing,亨祚|國祚|国祚
11100,祛,U+795B,qu1,qū,sacrifice to drive away calamity,祛寒|祛暑|祛淤
11101,祜,U+795C,hu4,hù,celestial blessing,孟連傣族拉祜族佤族自治縣|孟连傣族拉祜族佤族自治县|拉祜族
11102,祝,U+795D,zhu4|zhou4|chu4,zhù|zhòu|chù,surname Zhu,天祝|天祝縣|天祝县
11103,神,U+795E,shen2|shen1,shén|shēn,God,一神教|一神論|一神论
11104,祟,U+795F,sui4,suì,evil spirit,作祟|邪祟|除祟
11105,祠,U+7960,ci2|si4,cí|sì,shrine,土穀祠|土谷祠|宗祠
11106,祡,U+7961,chai2,chái,,
11107,祢,U+7962,mi2|ni3,mí|nǐ,you (used to address a deity),
11108,祣,U+7963,lv3,lǚ,,
11109,祤,U+7964,yu3,yǔ,,
11110,祥,U+7965,xiang2,xiáng,auspicious,不祥|不祥之兆|吉祥
11111,祦,U+7966,wu2,wú,happy,
11112,祧,U+7967,tiao1,tiāo,ancestral hall,
11113,票,U+7968,piao4|piao1,piào|piāo,ticket,三聯式發票|三联式发票|不信任投票
11114,祩,U+7969,zhu4,zhù,,
11115,祪,U+796A,gui3,guǐ,,
11116,祫,U+796B,xia2,xiá,triennial sacrifice to ancestors,
11117,祬,U+796C,zhi1,zhī,,
11118,祭,U+796D,ji4|zhai4,jì|zhài,surname Zhai,主祭|全燒祭|全烧祭
11119,祮,U+796E,gao4,gào,,
11120,祯,U+796F,zhen1,zhēn,auspicious,崇祯|徐祯卿
11121,祰,U+7970,gao4,gào,,
11122,祱,U+7971,shui4|lei4,shuì|lèi,,
11123,祲,U+7972,jin4,jìn,evil force,
11124,祳,U+7973,shen4,shèn,,
11125,祴,U+7974,gai1,gāi,,
11126,祵,U+7975,kun3,kǔn,,
11127,祶,U+7976,di4,dì,,
11128,祷,U+7977,dao3,dǎo,prayer,主祷文|代祷|做祷告
11129,祸,U+7978,huo4,huò,old variant of 禍|祸[huo4],人祸|兵连祸结|包藏祸心
11130,祹,U+7979,tao2,táo,,
11131,祺,U+797A,qi2,qí,(literary) good luck; good fortune,商祺|段祺瑞
11132,祻,U+797B,gu4,gù,"variant of 禍|祸, disaster",
11133,祼,U+797C,guan4,guàn,pour out libation,
11134,祽,U+797D,zui4,zuì,,
11135,祾,U+797E,ling2,líng,,
11136,祿,U+797F,lu4,lù,good fortune,世祿|世祿之家|他加祿語
11137,禀,U+7980,bing3,bǐng,to make a report (to a superior),入禀|回禀|天赋异禀
11138,禁,U+7981,jin4|jin1,jìn|jīn,to endure,不禁|令行禁止|全面禁止
11139,禂,U+7982,dao3,dǎo,to pray,
11140,禃,U+7983,zhi2,zhí,,
11141,禄,U+7984,lu4,lù,good fortune,世禄|世禄之家|他加禄语
11142,禅,U+7985,chan2|shan4,chán|shàn,dhyana (Sanskrit),刘禅|参禅|受禅
11143,禆,U+7986,bi4,bì,,
11144,禇,U+7987,zhe3,zhě,erroneous form of 褚,
11145,禈,U+7988,hui1,huī,,
11146,禉,U+7989,you3,yǒu,,
11147,禊,U+798A,xi4,xì,semiannual ceremony of purification,修禊|祓禊
11148,禋,U+798B,yin1,yīn,sacrifice,
11149,禌,U+798C,zi1,zī,,
11150,禍,U+798D,huo4,huò,disaster,人禍|兵連禍結|包藏禍心
11151,禎,U+798E,zhen1|zheng1,zhēn|zhēng,auspicious,崇禎|徐禎卿
11152,福,U+798F,fu2|fu4,fú|fù,surname Fu,一飽眼福|一饱眼福|五福臨門
11153,禐,U+7990,yuan4,yuàn,,
11154,禑,U+7991,wu2,wú,happy,
11155,禒,U+7992,xian3,xiǎn,,
11156,禓,U+7993,yang2|shang1,yáng|shāng,,
11157,禔,U+7994,zhi1,zhī,well-being,
11158,禕,U+7995,yi1,yī,excellent,
11159,禖,U+7996,mei2,méi,heir-requesting sacrifice,
11160,禗,U+7997,si1,sī,,
11161,禘,U+7998,di4,dì,imperial ancestral sacrifice,
11162,禙,U+7999,bei4,bèi,,
11163,禚,U+799A,zhuo2,zhuó,place name,
